cinema_code,date,daily_revenue
448,2018-02-21,16015.0
518,2018-02-23,90.0
39,2018-03-14,10225.0
94,2018-03-14,360.0
62,2018-03-14,960.0
522,2018-03-14,20520.0
141,2018-03-14,10020.0
248,2018-03-14,3170.0
266,2018-03-14,8820.0
61,2018-03-14,440.0
98,2018-03-14,7650.0
50,2018-03-14,1650.0
48,2018-03-14,4650.0
429,2018-03-14,11500.0
88,2018-03-14,1300.0
352,2018-03-14,22140.0
431,2018-03-14,3700.0
166,2018-03-14,8490.0
445,2018-03-14,7200.0
448,2018-03-14,272552.75
163,2018-03-14,34990.0
390,2018-03-14,26800.0
33,2018-03-14,3700.0
57,2018-03-14,2200.0
304,2018-03-14,127620.0
489,2018-03-14,41130.0
485,2018-03-14,39180.0
71,2018-03-14,40920.0
186,2018-03-14,11360.0
43,2018-03-14,2030.0
72,2018-03-14,13400.0
73,2018-03-14,32160.0
487,2018-03-14,700.0
396,2018-03-14,3760.0
344,2018-03-14,72900.0
518,2018-03-14,40350.0
91,2018-03-14,500.0
183,2018-03-14,3640.0
35,2018-03-14,12200.0
83,2018-03-14,150.0
51,2018-03-14,27750.0
480,2018-03-14,3060.0
52,2018-03-14,7825.0
56,2018-03-14,5620.0
210,2018-03-14,14080.0
313,2018-03-14,3925.0
262,2018-03-14,960.0
450,2018-03-14,68700.0
524,2018-03-14,31860.0
417,2018-03-14,7232.5
32,2018-03-14,9650.0
34,2018-03-14,14550.0
120,2018-03-14,900.0
72,2018-03-15,43250.0
396,2018-03-15,12480.0
73,2018-03-15,66120.0
277,2018-03-15,2440.0
181,2018-03-15,7325.0
487,2018-03-15,700.0
414,2018-03-15,1505.0
174,2018-03-15,750.0
529,2018-03-15,3120.0
194,2018-03-15,100.0
98,2018-03-15,10100.0
429,2018-03-15,20050.0
50,2018-03-15,8050.0
48,2018-03-15,6850.0
182,2018-03-15,14040.0
180,2018-03-15,5215.0
266,2018-03-15,35160.0
61,2018-03-15,1000.0
222,2018-03-15,455.0
352,2018-03-15,65220.0
431,2018-03-15,8500.0
445,2018-03-15,21120.0
166,2018-03-15,10845.0
159,2018-03-15,5100.0
466,2018-03-15,275.0
89,2018-03-15,33300.0
88,2018-03-15,2725.0
82,2018-03-15,40.0
164,2018-03-15,1650.0
450,2018-03-15,123480.0
524,2018-03-15,97540.0
417,2018-03-15,12050.0
338,2018-03-15,2240.0
34,2018-03-15,35800.0
32,2018-03-15,13350.0
120,2018-03-15,1750.0
344,2018-03-15,119880.0
518,2018-03-15,43440.0
285,2018-03-15,560.0
91,2018-03-15,1050.0
430,2018-03-15,1350.0
195,2018-03-15,3960.0
210,2018-03-15,56140.0
313,2018-03-15,7905.0
262,2018-03-15,6000.0
39,2018-03-15,13750.0
453,2018-03-15,1875.0
94,2018-03-15,720.0
62,2018-03-15,1170.0
33,2018-03-15,4450.0
259,2018-03-15,2640.0
57,2018-03-15,5300.0
324,2018-03-15,930.0
528,2018-03-15,450.0
56,2018-03-15,7140.0
51,2018-03-15,23525.0
52,2018-03-15,18025.0
480,2018-03-15,4890.0
183,2018-03-15,7000.0
35,2018-03-15,18600.0
83,2018-03-15,200.0
304,2018-03-15,247620.0
485,2018-03-15,65220.0
489,2018-03-15,97500.0
43,2018-03-15,2635.0
71,2018-03-15,96660.0
186,2018-03-15,16480.0
479,2018-03-15,3640.0
448,2018-03-15,419519.49
163,2018-03-15,146040.0
390,2018-03-15,30960.0
522,2018-03-15,38520.0
141,2018-03-15,32580.0
160,2018-03-15,1645.0
513,2018-03-15,10975.0
248,2018-03-15,4865.0
352,2018-03-16,68940.0
431,2018-03-16,12850.0
159,2018-03-16,6810.0
166,2018-03-16,16800.0
445,2018-03-16,16620.0
466,2018-03-16,650.0
490,2018-03-16,560.0
365,2018-03-16,30.0
56,2018-03-16,7780.0
51,2018-03-16,16600.0
52,2018-03-16,16950.0
480,2018-03-16,7755.0
344,2018-03-16,138360.0
518,2018-03-16,57732.0
380,2018-03-16,20620.0
486,2018-03-16,1125.0
285,2018-03-16,1080.0
195,2018-03-16,25880.0
91,2018-03-16,1550.0
430,2018-03-16,1200.0
184,2018-03-16,3720.0
33,2018-03-16,3750.0
259,2018-03-16,5840.0
57,2018-03-16,6500.0
324,2018-03-16,1440.0
528,2018-03-16,6245.0
221,2018-03-16,3570.0
72,2018-03-16,53900.0
181,2018-03-16,17050.0
396,2018-03-16,23800.0
414,2018-03-16,2590.0
73,2018-03-16,69300.0
250,2018-03-16,3780.0
277,2018-03-16,5520.0
487,2018-03-16,1950.0
237,2018-03-16,1000.0
174,2018-03-16,1050.0
39,2018-03-16,17825.0
453,2018-03-16,2100.0
94,2018-03-16,1350.0
62,2018-03-16,1350.0
207,2018-03-16,2500.0
262,2018-03-16,10440.0
516,2018-03-16,840.0
210,2018-03-16,58540.0
313,2018-03-16,8050.0
475,2018-03-16,5225.0
429,2018-03-16,30300.0
98,2018-03-16,8050.0
50,2018-03-16,7200.0
48,2018-03-16,6500.0
180,2018-03-16,10850.0
182,2018-03-16,26440.0
291,2018-03-16,1395.0
64,2018-03-16,500.0
450,2018-03-16,128760.0
524,2018-03-16,102360.0
417,2018-03-16,10190.0
338,2018-03-16,5120.0
34,2018-03-16,41800.0
225,2018-03-16,2100.0
321,2018-03-16,1640.0
32,2018-03-16,14500.0
120,2018-03-16,2500.0
243,2018-03-16,690.0
89,2018-03-16,36480.0
88,2018-03-16,2600.0
82,2018-03-16,440.0
164,2018-03-16,4170.0
266,2018-03-16,37620.0
61,2018-03-16,1255.0
222,2018-03-16,3745.0
529,2018-03-16,7680.0
247,2018-03-16,2810.0
194,2018-03-16,3260.0
513,2018-03-16,81350.0
522,2018-03-16,40224.0
141,2018-03-16,48060.0
160,2018-03-16,4445.0
198,2018-03-16,3660.0
238,2018-03-16,750.0
248,2018-03-16,8890.0
448,2018-03-16,434157.0
163,2018-03-16,199110.0
390,2018-03-16,34680.0
304,2018-03-16,250500.0
489,2018-03-16,106200.0
485,2018-03-16,65220.0
43,2018-03-16,3825.0
71,2018-03-16,94920.0
186,2018-03-16,10720.0
479,2018-03-16,6475.0
162,2018-03-16,2460.0
183,2018-03-16,20200.0
165,2018-03-16,11550.0
35,2018-03-16,21350.0
415,2018-03-16,3605.0
83,2018-03-16,300.0
499,2018-03-16,600.0
262,2018-03-17,13880.0
516,2018-03-17,1015.0
210,2018-03-17,50020.0
313,2018-03-17,5875.0
475,2018-03-17,3370.0
266,2018-03-17,22440.0
61,2018-03-17,920.0
253,2018-03-17,2265.0
222,2018-03-17,4130.0
513,2018-03-17,22200.0
522,2018-03-17,19440.0
141,2018-03-17,25800.0
198,2018-03-17,5790.0
160,2018-03-17,3920.0
238,2018-03-17,775.0
248,2018-03-17,6455.0
155,2018-03-17,2320.0
529,2018-03-17,6110.0
247,2018-03-17,5700.0
194,2018-03-17,680.0
314,2018-03-17,2250.0
454,2018-03-17,675.0
450,2018-03-17,58500.0
524,2018-03-17,29990.0
417,2018-03-17,5295.0
338,2018-03-17,2760.0
34,2018-03-17,32200.0
225,2018-03-17,2275.0
321,2018-03-17,2300.0
32,2018-03-17,6150.0
120,2018-03-17,1000.0
243,2018-03-17,2280.0
448,2018-03-17,258574.0
163,2018-03-17,117420.0
390,2018-03-17,20480.0
352,2018-03-17,36540.0
456,2018-03-17,11800.0
431,2018-03-17,7775.0
166,2018-03-17,10500.0
159,2018-03-17,4290.0
445,2018-03-17,15420.0
466,2018-03-17,425.0
175,2018-03-17,3300.0
365,2018-03-17,810.0
35,2018-03-17,24900.0
183,2018-03-17,15360.0
165,2018-03-17,8170.0
167,2018-03-17,2250.0
415,2018-03-17,4585.0
499,2018-03-17,1800.0
83,2018-03-17,750.0
397,2018-03-17,87.5
254,2018-03-17,1650.0
181,2018-03-17,8000.0
396,2018-03-17,12920.0
72,2018-03-17,15500.0
414,2018-03-17,770.0
250,2018-03-17,6335.0
73,2018-03-17,30660.0
277,2018-03-17,2520.0
237,2018-03-17,825.0
487,2018-03-17,550.0
174,2018-03-17,2100.0
489,2018-03-17,93180.0
304,2018-03-17,135420.0
485,2018-03-17,49410.0
43,2018-03-17,2815.0
71,2018-03-17,47760.0
186,2018-03-17,11280.0
162,2018-03-17,2520.0
479,2018-03-17,3465.0
496,2018-03-17,755.0
191,2018-03-17,1475.0
56,2018-03-17,6780.0
52,2018-03-17,15875.0
480,2018-03-17,9645.0
425,2018-03-17,1770.0
223,2018-03-17,2370.0
464,2018-03-17,875.0
33,2018-03-17,4300.0
259,2018-03-17,3420.0
57,2018-03-17,4150.0
324,2018-03-17,1290.0
528,2018-03-17,5025.0
245,2018-03-17,3000.0
221,2018-03-17,2905.0
474,2018-03-17,33595.0
344,2018-03-17,82440.0
380,2018-03-17,9897.5
170,2018-03-17,360.0
518,2018-03-17,22710.0
486,2018-03-17,362.5
285,2018-03-17,320.0
195,2018-03-17,20640.0
184,2018-03-17,6520.0
