cinema_code,avg_occupancy
557,0.0
215,0.36
458,0.81
170,1.35
204,1.45
542,1.51
441,1.68
94,1.72
61,1.85
231,1.96
91,2.15
82,2.21
490,2.44
532,2.45
504,2.63
365,2.72
470,2.9
413,2.95
167,2.96
276,3.03
225,3.09
397,3.12
326,3.26
158,3.33
508,3.68
457,3.79
476,3.86
62,3.89
498,3.89
333,3.96
339,3.99
254,4.1
491,4.12
271,4.26
460,4.28
331,4.33
33,4.67
558,4.78
541,4.86
154,4.89
273,4.89
341,4.93
88,4.99
249,5.09
566,5.42
432,5.5
223,5.53
506,5.53
160,5.55
214,5.57
539,5.77
175,5.82
560,5.85
64,5.97
565,6.11
519,6.27
156,6.3
425,6.36
515,6.57
324,6.59
507,6.67
466,6.71
402,6.74
207,6.81
481,6.92
237,6.97
251,7.02
526,7.03
517,7.11
248,7.14
32,7.16
465,7.21
52,7.52
98,7.52
525,7.52
70,7.55
310,7.71
57,8.03
509,8.05
495,8.15
467,8.46
191,8.48
43,8.58
299,8.61
451,8.64
300,8.87
120,8.91
381,8.96
230,9.02
48,9.03
548,9.04
162,9.46
484,9.46
250,9.52
51,9.65
181,9.81
50,9.83
562,9.85
81,10.0
174,10.11
285,10.15
482,10.23
323,10.41
464,10.43
253,10.49
472,10.53
537,10.71
313,10.75
471,10.83
502,11.17
426,11.2
222,11.29
534,11.35
185,11.5
83,11.62
292,11.62
277,11.63
194,11.74
359,11.95
266,12.01
487,12.06
511,12.06
415,12.08
184,12.35
314,12.36
306,12.42
168,12.65
368,12.87
454,12.87
144,12.96
286,13.15
533,13.19
55,13.2
159,13.21
56,13.27
463,13.37
531,13.72
315,13.73
338,14.08
501,14.18
362,14.26
488,14.31
479,14.45
243,14.49
475,14.49
499,14.83
321,14.89
447,15.32
201,15.35
520,15.59
328,15.67
521,15.83
512,15.93
486,15.97
221,16.02
187,16.15
468,16.4
417,16.49
291,16.61
514,16.7
39,16.79
238,17.03
427,17.04
528,17.29
115,17.41
455,18.03
196,18.14
477,18.9
155,18.99
431,19.01
172,19.06
496,19.48
492,19.6
380,19.76
555,20.05
522,20.12
183,20.22
165,20.26
72,20.31
561,20.33
453,20.53
505,20.55
535,20.86
198,21.02
186,21.25
164,21.28
556,21.5
540,21.98
180,22.06
553,22.09
352,22.78
182,22.96
142,23.38
376,23.43
262,24.18
169,24.44
424,24.72
414,24.97
245,25.0
396,25.45
89,25.8
73,25.96
429,26.29
34,26.51
518,26.76
536,26.77
152,27.24
428,27.24
473,27.32
445,27.49
350,27.87
166,28.1
344,28.12
141,28.16
259,28.26
442,28.57
529,28.86
461,29.27
312,29.41
247,29.42
71,29.61
516,29.71
452,31.42
546,32.12
195,32.28
489,32.41
450,32.82
480,33.62
163,34.29
503,34.62
513,35.86
210,36.11
307,36.66
448,37.83
497,38.13
456,39.42
524,39.61
430,40.01
304,40.24
316,40.28
485,45.15
35,45.87
390,58.79
474,64.01
543,
637,
