cinema_code,month,monthly_revenue
518,2,90.0
448,2,16015.0
448,3,11749047.99
163,3,4364008.0
484,3,62950.0
497,3,24075.0
427,3,125842.5
300,3,35210.0
390,3,735320.0
306,3,15900.0
425,3,39105.0
451,3,10850.0
56,3,368380.0
51,3,659400.0
52,3,691025.0
480,3,214410.0
637,3,610000.0
473,3,5640.0
187,3,322800.0
223,3,200605.0
513,3,1204625.0
522,3,980844.0
461,3,11675.0
368,3,12105.0
155,3,239180.0
465,3,600.0
141,3,1930066.0
198,3,386890.0
238,3,231610.0
160,3,283575.0
248,3,98795.0
441,3,21720.0
341,3,2975.0
339,3,4825.0
154,3,76755.0
488,3,8965.0
214,3,18925.0
89,3,1683420.0
88,3,160200.0
82,3,5000.0
452,3,1574175.0
442,3,330520.0
164,3,226270.0
262,3,893680.0
516,3,80375.0
210,3,1622760.0
313,3,263000.0
508,3,787.5
475,3,276735.0
402,3,1950.0
362,3,170675.0
333,3,48900.0
450,3,2990072.0
524,3,3106992.5
417,3,884607.5
225,3,79955.0
338,3,182480.0
34,3,1836430.0
321,3,158635.0
81,3,42950.0
32,3,384100.0
243,3,194970.0
120,3,62450.0
352,3,2505835.0
431,3,689905.0
456,3,322250.0
476,3,1080.0
168,3,172850.0
159,3,325385.0
445,3,820080.0
166,3,528255.0
490,3,7175.0
466,3,98425.0
381,3,112485.0
175,3,168200.0
365,3,80950.0
415,3,195300.0
525,3,9200.0
142,3,432575.0
323,3,4530.0
249,3,500.0
183,3,1022880.0
35,3,933350.0
167,3,141305.0
165,3,333180.0
499,3,212875.0
397,3,17887.5
83,3,54875.0
156,3,149360.0
254,3,64805.0
344,3,4328940.0
518,3,1447352.0
380,3,733140.0
474,3,742340.0
467,3,49550.0
531,3,77100.0
486,3,34747.5
170,3,50210.0
430,3,187075.0
468,3,76425.0
285,3,38780.0
195,3,865920.0
184,3,434680.0
91,3,44800.0
316,3,112975.0
501,3,7445.0
432,3,49300.0
39,3,777400.0
144,3,299840.0
273,3,60450.0
453,3,148980.0
94,3,70755.0
62,3,49805.0
158,3,97615.0
207,3,151595.0
72,3,1991885.0
181,3,645350.0
396,3,1170910.0
414,3,108430.0
73,3,1435260.0
504,3,4665.0
277,3,262320.0
231,3,3910.0
492,3,28095.0
250,3,294430.0
487,3,30125.0
237,3,63710.0
152,3,61480.0
174,3,100290.0
429,3,612050.0
98,3,172425.0
50,3,311240.0
48,3,436950.0
182,3,1134880.0
291,3,431745.0
180,3,404275.0
299,3,25985.0
331,3,32130.0
455,3,314670.0
460,3,8850.0
64,3,10600.0
266,3,1179045.0
61,3,29055.0
222,3,328530.0
115,3,98800.0
471,3,3380.0
517,3,2775.0
271,3,17940.0
253,3,118940.0
457,3,6675.0
472,3,25497.5
326,3,6950.0
70,3,109800.0
447,3,4890.0
304,3,6466650.5
489,3,3047405.0
485,3,1555420.0
43,3,270640.0
196,3,205800.0
204,3,16255.0
496,3,41505.0
71,3,2610005.0
186,3,701760.0
185,3,312000.0
162,3,206745.0
479,3,127730.0
310,3,62700.0
315,3,42225.0
491,3,40410.0
307,3,331600.0
428,3,180845.0
191,3,186860.0
507,3,150.0
464,3,82085.0
528,3,391305.0
33,3,100500.0
509,3,16652.5
259,3,338400.0
57,3,237050.0
324,3,73595.0
286,3,45870.0
221,3,320210.0
245,3,131700.0
276,3,25650.0
495,3,58955.0
55,3,23005.0
529,3,584615.0
350,3,244650.0
172,3,625450.0
247,3,280850.0
505,3,17912.5
359,3,4887.5
511,3,9812.5
503,3,40755.0
526,3,22830.0
312,3,331010.0
201,3,215285.0
194,3,223290.0
169,3,174600.0
463,3,77010.0
454,3,59225.0
314,3,121640.0
292,3,48865.0
528,4,852682.5
57,4,435850.0
245,4,536805.0
259,4,571800.0
521,4,93970.0
495,4,159480.0
324,4,231065.0
464,4,219600.0
251,4,37320.0
33,4,307600.0
509,4,86232.5
286,4,120180.0
221,4,745300.0
276,4,71085.0
55,4,109095.0
482,4,6855.0
512,4,11310.0
